metric,orioles_value,league_mean,league_median,orioles_rank
rule_based_losses,22.0,20.466666666666665,20.0,9
wp_80_losses,15.0,12.366666666666667,12.5,7
wp_90_losses,5.0,4.466666666666667,5.0,7
wp_95_losses,3.0,1.9333333333333333,2.0,4
games_reached_90_wp,74.0,77.86666666666666,78.0,21
games_reached_95_wp,62.0,68.93333333333334,67.5,23
wp_80_loss_rate,0.172,0.1387333333333333,0.13,7
wp_90_loss_rate,0.068,0.05823333333333333,0.06,10
wp_95_loss_rate,0.048,0.028033333333333334,0.028,5
big_lead_loss_rate,0.125,0.09403333333333333,0.0885,7
wasted_offense_loss_rate,0.254,0.20536666666666664,0.192,7
wp_20_comeback_wins,7.0,12.366666666666667,12.0,27
wp_10_comeback_wins,4.0,4.466666666666667,4.5,16
wp_5_comeback_wins,3.0,1.9333333333333333,2.0,5
wp_20_comeback_rate,0.074,0.13549999999999998,0.1275,29
wp_10_comeback_rate,0.048,0.057199999999999994,0.06,20
wp_5_comeback_rate,0.039,0.027400000000000004,0.029,6
trailed_after_6_win_rate,0.108,0.12613333333333332,0.127,20
